主事件标题,事件标题,时间,地点,涉事方,关键动作,总触达量,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184
越南就中国在南海的领土主张加强对儿童玩具的检查,越南与中国在南海就领土主张和儿童玩具检查进行对抗,2025-3-13,南海,越南、中国,越南加强对儿童玩具的检查，因担忧玩具上的图像与中国在南海的领土主张地图相似,2601948,"""https://www.bloomberg.com/news/articles/2025-03-13/vietnam-probes-child-toys-depicting-china-claim-in-disputed-sea?cmpid%3D=socialflow-twitter-economics&utm_content=economics&utm_medium=social&utm_campaign=socialflow-organic&utm_source=twitter""","""https://www.bloomberg.com/news/articles/2025-03-13/vietnam-probes-child-toys-depicting-china-claim-in-disputed-sea?utm_source=twitter&utm_content=markets&utm_medium=social&utm_campaign=socialflow-organic&cmpid%3D=socialflow-twitter-markets""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海进行两栖登陆演习并部署两栖登陆驳船,中国在南海地区部署两栖登陆驳船，可能用于针对台湾、韩国、日本和菲律宾的军事行动,2025-3-14,南海,中国、台湾、韩国、日本、菲律宾,中国部署两栖登陆驳船，可用于军事行动，包括针对台湾、韩国、日本和菲律宾,5027929,"""https://twitter.com/visegrad24/status/1900223135812567094"";""https://x.com/visegrad24/status/1900223135812567094/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国海军一架歼-15舰载机在南海训练期间坠毁,中国在南海进行军事训练时发生飞机坠毁事故,2025-3-16,南海，海南岛临高县,中国,中国人民解放军海军一架歼-15舰载多用途战斗机在南海训练期间坠毁，飞行员成功弹射,1352091,"""https://x.com/sentdefender/status/1900940302526914942/video/1""","""https://twitter.com/marionawfal/status/1900929748672434237"";""https://x.com/MarioNawfal/status/1900929748672434237/video/1"";""https://twitter.com/MarioNawfal/status/1899057058239918333""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的主张发表强硬言论并引发中国在南海的军事巡逻和警告,菲律宾国防部长就中国在南海的主张发表强硬言论,2025-3-25,南海,菲律宾、中国,菲律宾国防部长称中国在南海的主张是“最大的虚构和谎言”,1407345,"""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-slams-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_campaign=twtnl_x&utm_medium=SocialFlow"";""https://x.com/WashTimes/status/1904318077270929533/photo/1""","""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-slams-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x"";""https://x.com/WashTimes/status/1904257885338837485/photo/1""","""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海和钓鱼岛附近部署海警船并增加海上民兵船只在萨宾娜浅滩的存在,中国在南中国海和钓鱼岛附近部署海警船,2025-3-28,南中国海、钓鱼岛,中国,中国部署海警船在南中国海和钓鱼岛附近巡逻,736523,"""https://x.com/TheStudyofWar/status/1905335712502685826/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国渔船与中国海警在南中国海的台湾管辖岛屿附近非法捕鱼并阻挠台湾海警执法,中国渔船与中国海警在南中国海的台湾管辖岛屿附近非法捕鱼并阻挠台湾海警执法,2025-3-28,南中国海的台湾管辖岛屿（Pratas Island）附近,中国渔船、中国海警、台湾海警,中国渔船在台湾管辖岛屿附近非法捕鱼，中国海警船只抵达并试图阻止台湾海警驱逐中国渔船,736521,"""https://twitter.com/TheStudyofWar/status/1905336575904616570"";""https://x.com/TheStudyofWar/status/1905336575904616570/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国在西菲律宾海建立可信威慑,美国在西菲律宾海建立可信威慑,2025-3-28,西菲律宾海,美国,美国必须在西菲律宾海建立可信威慑,688078,"""https://thehill.com/opinion/international/5215162-us-philippines-deterrence-china/"";""https://x.com/US_ShipOfState/status/1905569938292482284/photo/1""","""https://thehill.com/opinion/international/5215162-us-philippines-deterrence-china/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海和钓鱼岛附近部署海警船并增加海上民兵船只在萨宾娜浅滩的存在,中国海上民兵船只在萨宾娜浅滩增加存在,2025-3-28,萨宾娜浅滩 (Sabina Shoal),中国、菲律宾,中国海上民兵船只在萨宾娜浅滩稳步增加存在，旨在破坏菲律宾主权并考验地区决心,601399,"""https://x.com/amuse/status/1905552529246593155/photo/1"";""https://x.com/amuse/status/1905552048600260919/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的主张发表强硬言论并引发中国在南海的军事巡逻和警告,中国在南海进行军事巡逻并警告菲律宾,2025-3-29,南海,中国、菲律宾,中国在南海进行军事巡逻并警告菲律宾,661041,"""https://www.reuters.com/world/china/china-conducts-military-patrol-south-china-sea-warns-philippines-2025-03-29/?taid=67e7a184e1586a00012262b8&utm_campaign=trueAnthem:+Trending+Content&utm_medium=trueAnthem&utm_source=twitter"";""https://x.com/ReutersWorld/status/1905885192130040139/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国在南海和韩国部署C-5M运输机,美国在南海和韩国部署C-5M运输机,2025-4-9,南海、韩国乌山空军基地,美国,美国空军C-5M运输机从迭戈加西亚岛前往韩国乌山空军基地，另一架C-5M从日本冲绳前往南海,1402496,"""https://x.com/sentdefender/status/1909816098800681298/photo/1""","""https://twitter.com/sentdefender/status/1909816098800681298"";""https://x.com/sentdefender/status/1909816098800681298/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国政治评论员Ryan Girdusky就南海问题与中国存在分歧,美国政治评论员Ryan Girdusky与中国在南海问题上存在分歧,2025-4-11,南海,美国政治评论员Ryan Girdusky、中国,对中国在南海的战略部署表示不满,959511,"""https://twitter.com/ericldaugh/status/1910645236671393983""","""https://twitter.com/ryangirdusky/status/1910646922894872711"";""https://twitter.com/ericldaugh/status/1910645236671393983""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国与菲律宾在南海举行联合军事演习,美国与菲律宾在南海进行联合军事演习,2025-4-26,南海,美国、菲律宾,美国海军陆战队在南海“肩并肩2025”演习中击沉二战时期护卫舰,647084,"""https://news.usni.org/2025/04/25/u-s-marine-hornets-to-sink-wwii-corvette-in-south-china-sea-drill-at-balikatan-2025"";""https://x.com/NavalInstitute/status/1915887757446066345/photo/1""","""https://x.com/TeamAFP/status/1915923239957893261/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国与菲律宾在南海沙洲岛发生升旗对峙事件,中国与菲律宾在南海沙洲岛发生升旗对峙事件,2025-4-28,南海沙洲岛,中国、菲律宾,中国与菲律宾在南海沙洲岛举行升旗仪式，加剧紧张局势,1370367,"""https://www.rfa.org/english/southchinasea/2025/04/28/china-philippines-south-china-sea-flag/"";""https://x.com/RadioFreeAsia/status/1916792857832141099/photo/1""","""https://www.washingtontimes.com/news/2025/apr/28/philippines-china-use-flags-stake-competing-claims-south-china-sea/?utm_medium=SocialFlow&utm_source=Twitter&utm_campaign=twtnl_x"";""https://x.com/WashTimes/status/1917078915358613930/photo/1""","""https://x.com/sentdefender/status/1916770242073657714/photo/1""","""https://www.washingtontimes.com/news/2025/apr/28/philippines-china-use-flags-stake-competing-claims-south-china-sea/?utm_campaign=twtnl_x&utm_source=Twitter&utm_medium=SocialFlow"";""https://x.com/WashTimes/status/1916943206710649097/photo/1""","""https://www.stripes.com/theaters/asia_pacific/2025-04-28/china-philippines-south-china-sea-17614193.html""","""https://responsiblestatecraft.org/sandy-cay-china-philippines/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军F-35C战斗机在南海坠毁,美国在南海发生美国海军F-35C战斗机坠入南海事件,2025-4-30,南海,美国、未知实体,美国海军一架F-35C战斗机坠入南海,591837,"""https://abc7news.com/post/us-fighter-jet-rolls-off-aircraft-carrier-sinks-ocean-navy-says/16270758/"";""https://x.com/abc7newsbayarea/status/1917383630906675602/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海争议岛屿沙洲岛登陆并主张主权，引发越南抗议和国际社会关注,中国在南海争议岛屿沙洲岛登陆，以对抗美国与菲律宾的军事合作,2025-5-2,南海、沙洲岛（Sandy Cay）、南沙群岛,中国、美国、菲律宾,中国在南海争议岛屿沙洲岛登陆，可能预示着中国将在南海积极寻求领土主张，以对抗美国与菲律宾日益增长的军事合作,1473881,"""https://x.com/TheStudyofWar/status/1918319632005693710/photo/1""","""https://x.com/TheStudyofWar/status/1918403874144084463/photo/1"";""https://twitter.com/TheStudyofWar/status/1918319632005693710"";""https://x.com/TheStudyofWar/status/1918319632005693710/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海争议岛屿沙洲岛登陆并主张主权，引发越南抗议和国际社会关注,中国在南海主张主权，引发地区军事演习,2025-5-2,南海,中国,中国在南海主张主权,3547991,"""https://www.newsweek.com/philippines-us-australia-news-anti-landing-military-exercise-south-china-sea-2067161?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1746185370""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海争议岛屿沙洲岛登陆并主张主权，引发越南抗议和国际社会关注,越南就中国和菲律宾在南沙群岛的活动提出正式抗议,2025-5-3,南沙群岛、南海,越南、中国、菲律宾,越南就中国和菲律宾在南沙群岛的活动提出正式抗议，称其侵犯了越南主权,9868854,"""https://www.bloomberg.com/news/articles/2025-05-03/vietnam-protests-china-philippines-activity-in-disputed-waters?taid=6815cd325e58800001db5c08&utm_campaign=trueanthem&utm_medium=social&utm_source=twitter""","""https://www.rfa.org/english/southchinasea/2025/05/05/vietnam-china-philippines-sandy-cay/"";""https://x.com/RadioFreeAsia/status/1919334727208624564/photo/1""","""https://chinaglobalsouth.com/2025/05/03/vietnam-protests-china-philippines-claims-on-south-china-sea-reef/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军在南海进行航母飞行作业,美国海军在南海进行航母飞行作业,2025-5-6,南海,美国海军,美国海军尼米兹号航空母舰在南海进行飞行作业,1447399,"""https://x.com/USNavy/status/1920977391498706997/video/1""","""https://twitter.com/ianellisjones/status/1922036373176881658"";""https://x.com/ianellisjones/status/1922036373176881658/photo/1""","""https://x.com/ianellisjones/status/1922036373176881658/photo/1""","""https://x.com/USNavy/status/1922275704533606418/photo/1""","""https://x.com/USPacificFleet/status/1922070718948286638/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国可能在南海冲突中切断关键材料出口以报复美国及其盟友,中国可能在南海冲突中切断关键材料出口以报复美国及其盟友,2025-5-9,南海,中国、美国,中国可能在南海冲突中切断关键材料出口以报复美国及其盟友,921263,"""https://www.foreignaffairs.com/united-states/americas-most-dangerous-dependence?utm_campaign=tw&utm_content=&utm_medium=social&utm_source=twitter""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海和台湾地区进行地缘政治活动,中国在南海和台湾地区进行地缘政治活动,2025-5-11,南海、台湾,中国,中国在南海和台湾地区进行地缘政治活动,839950,https://twitter.com/mjgranger1/statuses/1921273381594238990,https://twitter.com/mjgranger1/statuses/1921339215326892386,"""https://www.theguardian.com/commentisfree/2025/may/13/donald-trump-china-xi-jinping-us-europe?utm_term=68236c90f37ce53282db7839140d26c8&utm_campaign=BestOfGuardianOpinionUK&utm_source=esp&utm_medium=Email&CMP=opinionuk_email""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海争议岛屿沙洲岛登陆并主张主权，引发越南抗议和国际社会关注,中国与国际社会在南海问题上发生紧张关系,2025-5-11,南海,中国、国际社会,中国在南海的扩张性主张导致国际社会对其日益敌视,599871,"""https://www.nytimes.com/2025/05/10/world/asia/xi-jinping-china-trade-war.html?smid=nytcore-ios-share&referringSource=articleShare""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
英国军舰在南海举行航行自由行动挑战中国领土主张,英国军舰 与 中国 在 南海 举行 航行自由行动,2025-5-18,南海,英国、中国,英国军舰在南海进行航行自由行动，挑战中国领土主张,3559441,"""https://ukdefencejournal.org.uk/british-warship-ignores-chinese-warnings-in-south-china-sea/""","""https://www.newsweek.com/united-kingdom-navy-freedom-navigation-south-china-sea-2073926?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1747642930""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国与菲律宾在南海发生海上冲突并寻求协议,中国与菲律宾在南海发生海上冲突,2025-5-26,南海,中国、菲律宾,中国海警船与菲律宾船只在南海发生冲突,1164167,"""https://x.com/NewsHour/status/1926751835085275447/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国海军尼米兹号航母在南海进行舰载机飞行活动,美国海军在南海进行航母舰载机飞行活动,2025-5-27,南海,美国海军,美国海军飞机在尼米兹号航空母舰附近飞行,3550506,"""https://x.com/US7thFleet/status/1932392462930031090/photo/1""","""https://x.com/USPacificFleet/status/1932900599491887554/photo/1""","""https://www.newsweek.com/uss-nimitz-south-china-sea-warfighting-exercises-2084386?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1749721149""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国与菲律宾在南海发生海上冲突并寻求协议,菲律宾 与 中国 在 南海 寻求协议,2025-5-30,南海,菲律宾、中国,菲律宾在南海寻求与中国的协议,2342211,"""https://www.washingtontimes.com/news/2025/may/29/overwhelmed-china-manila-looks-deal-flashpoint-south-china-sea/?utm_medium=SocialFlow&utm_campaign=twtnl_x&utm_source=Twitter"";""https://x.com/WashTimes/status/1928259842931605722/photo/1""","""https://www.washingtontimes.com/news/2025/may/29/overwhelmed-china-manila-looks-deal-flashpoint-south-china-sea/?utm_source=Twitter&utm_campaign=twtnl_x&utm_medium=SocialFlow"";""https://x.com/WashTimes/status/1928397249710641225/photo/1""","""https://www.washingtontimes.com/news/2025/may/29/overwhelmed-china-manila-looks-deal-flashpoint-south-china-sea/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x"";""https://x.com/WashTimes/status/1928290032676213122/photo/1""","""https://www.washingtontimes.com/news/2025/may/29/overwhelmed-china-manila-looks-deal-flashpoint-south-china-sea/?utm_medium=SocialFlow&utm_campaign=twtnl_x&utm_source=Twitter"";""https://x.com/WashTimes/status/1928427458480484626/photo/1""","""https://www.washingtontimes.com/news/2025/may/29/overwhelmed-china-manila-looks-deal-flashpoint-south-china-sea/?utm_medium=SocialFlow&utm_campaign=twtnl_x&utm_source=Twitter"";""https://x.com/WashTimes/status/1928199445130195052/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中美两国在南海问题上持续交锋,中国国防部发言人指责美国是南海和平稳定的最大威胁,2025-6-1,南海,中国、美国,中国国防部发言人指责美国是南海和平稳定的最大威胁,771766,https://twitter.com/tenet_research/statuses/1929201690114162739,"""https://twitter.com/SpoxCHN_LinJian/status/1928995715801628970"";""https://www.fmprc.gov.cn/eng/xw/fyrbt/202506/t20250601_11638402.html"";""https://x.com/SpoxCHN_LinJian/status/1928995715801628970/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美国官员与中国相关组织存在联系引发国家安全担忧,美国卫生与公众服务部官员与中国共产党相关组织存在联系，引发国家安全担忧,2025-6-1,美国,美国卫生与公众服务部、中国共产党、NRDC,美国卫生与公众服务部副幕僚长Stefanie Spear与NRDC-CCP存在联系，NRDC对中国在南海的行动保持沉默，引发国家安全担忧,2328823,"""https://x.com/LauraLoomer/status/1929029341096104380/photo/1"";""https://twitter.com/lauraloomer/status/1925585209849725232""","""https://twitter.com/lauraloomer/status/1929029341096104380"";""https://x.com/LauraLoomer/status/1929029341096104380/photo/1"";""https://twitter.com/lauraloomer/status/1925585209849725232""","""https://x.com/LauraLoomer/status/1929029341096104380/photo/1"";""https://twitter.com/lauraloomer/status/1925585209849725232"";""https://x.com/LauraLoomer/status/1925585209849725232/photo/1"";""https://twitter.com/ecowatch/status/1924892380232094055""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国与菲律宾在南海的主权争议持续升级并引发美国关注,菲律宾国防部长吉尔伯托·特奥多罗谴责中国在南海的领土主张,2025-6-1,南海,菲律宾、中国,菲律宾国防部长吉尔伯托·特奥多罗谴责中国在南海的领土主张，并表示对北京缺乏信任是解决争端的最大障碍,946194,https://twitter.com/ChuckDeVore/statuses/1929185548456931705,"""https://twitter.com/usdpcolby/status/1929173921787518978""",https://twitter.com/kenmoriyasu/statuses/1929494889751887905,https://twitter.com/HKokbore/statuses/1929364651403350090,"""https://twitter.com/dndphl/status/1929425247578845484"";""https://x.com/dndphl/status/1929425247578845484/video/1""","""https://www.bloomberg.com/news/articles/2025-06-01/philippine-defense-chief-rips-china-officials-in-testy-exchange""","""https://x.com/gmanews/status/1929854703070069142/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国与菲律宾在南海的主权争议持续升级并引发美国关注,中国在南海宣称主权，与区域其他国家主张重叠,2025-6-2,南海,中国、区域其他国家,中国在南海宣称主权，其主张覆盖南海大部分区域，并与区域其他国家的主张重叠,3523452,"""https://www.newsweek.com/us-news-warship-challenged-beijing-south-china-sea-claims-2079721?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1748874619""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
