主事件标题,事件标题,时间,地点,涉事方,关键动作,总推文数,链接1,链接2,链接3,链接4,链接5,链接6,链接7,链接8,链接9,链接10,链接11,链接12,链接13,链接14,链接15,链接16,链接17,链接18,链接19,链接20,链接21,链接22,链接23,链接24,链接25,链接26,链接27,链接28,链接29,链接30,链接31,链接32,链接33,链接34,链接35,链接36,链接37,链接38,链接39,链接40,链接41,链接42,链接43,链接44,链接45,链接46,链接47,链接48,链接49,链接50,链接51,链接52,链接53,链接54,链接55,链接56,链接57,链接58,链接59,链接60,链接61,链接62,链接63,链接64,链接65,链接66,链接67,链接68,链接69,链接70,链接71,链接72,链接73,链接74,链接75,链接76,链接77,链接78,链接79,链接80,链接81,链接82,链接83,链接84,链接85,链接86,链接87,链接88,链接89,链接90,链接91,链接92,链接93,链接94,链接95,链接96,链接97,链接98,链接99,链接100,链接101,链接102,链接103,链接104,链接105,链接106,链接107,链接108,链接109,链接110,链接111,链接112,链接113,链接114,链接115,链接116,链接117,链接118,链接119,链接120,链接121,链接122,链接123,链接124,链接125,链接126,链接127,链接128,链接129,链接130,链接131,链接132,链接133,链接134,链接135,链接136,链接137,链接138,链接139,链接140,链接141,链接142,链接143,链接144,链接145,链接146,链接147,链接148,链接149,链接150,链接151,链接152,链接153,链接154,链接155,链接156,链接157,链接158,链接159,链接160,链接161,链接162,链接163,链接164,链接165,链接166,链接167,链接168,链接169,链接170,链接171,链接172,链接173,链接174,链接175,链接176,链接177,链接178,链接179,链接180,链接181,链接182,链接183,链接184,链接185,链接186,链接187,链接188,链接189,链接190,链接191,链接192,链接193,链接194,链接195,链接196,链接197,链接198,链接199,链接200,链接201,链接202,链接203,链接204,链接205,链接206,链接207,链接208,链接209,链接210,链接211,链接212,链接213,链接214,链接215,链接216,链接217,链接218,链接219,链接220,链接221,链接222,链接223,链接224,链接225,链接226,链接227,链接228,链接229,链接230,链接231,链接232,链接233,链接234,链接235,链接236,链接237,链接238,链接239,链接240,链接241,链接242,链接243,链接244,链接245,链接246,链接247,链接248,链接249,链接250,链接251,链接252,链接253,链接254,链接255,链接256,链接257,链接258,链接259,链接260,链接261,链接262,链接263,链接264,链接265,链接266,链接267,链接268,链接269,链接270,链接271,链接272,链接273,链接274,链接275,链接276,链接277,链接278,链接279,链接280,链接281,链接282
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,BRPSierraMadre 与 中国 在 南海 就 中国在南海的虚伪行为发生言语交锋,2025/3/15,南海,BRPSierraMadre、中国、菲律宾,BRPSierraMadre 批评中国在南海问题上试图扭曲事实，将菲律宾描绘成侵略者，并指出中国的行为是可悲的宣传噱头,3,"""https://twitter.com/ChinaDaily/status/1900562625349718314""","""https://x.com/BRPSierraMadre/status/1900865101802197473/video/1""","""https://twitter.com/CCTV_Plus/status/1900537402361520486""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾与中国在南海就中国骚扰渔民和阻碍补给任务进行讨论,2025/3/15,南海,菲律宾、中国,菲律宾指责中国在南海骚扰渔民、阻碍补给任务并进行建设,2,"""https://twitter.com/CCTV_Plus/status/1900537402361520486""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,Anti Duterte Filipinos 与 Duterte 在 菲律宾 就 西菲律宾海问题发生言语交锋,2025/3/16,菲律宾,Anti Duterte Filipinos、Duterte、中国、美国,Anti Duterte Filipinos 指责 Duterte 出售西菲律宾海给中国，而 Duterte 则因疫情期间中国提供帮助而对中国表示感谢,2,https://twitter.com/6figureetal2/statuses/1901163707725725843,https://twitter.com/RommelFLopez/statuses/1901183272308408330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中国在南海进行军事演习和军事活动,中国在南海进行训练演习时发生J-15战斗机坠毁事故,2025/3/16,南海（海南岛临高县）,中国,中国海军一架J-15舰载多用途战斗机在南海海南岛临高县进行训练演习时坠毁，飞行员成功弹射,10,"""https://x.com/sentdefender/status/1900940302526914942/video/1""","""https://twitter.com/sentdefender/status/1900940302526914942"";""https://x.com/sentdefender/status/1900940302526914942/video/1""","""https://x.com/israelnewspulse/status/1900941128733544656/video/1""","""https://twitter.com/marionawfal/status/1900929748672434237"";""https://x.com/MarioNawfal/status/1900929748672434237/video/1"";""https://twitter.com/MarioNawfal/status/1899057058239918333""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,中国与菲律宾在南海（西菲律宾海）发生冲突,2025/3/17,南海（西菲律宾海）,中国、菲律宾,菲律宾记者、渔民和民众记录中国在西菲律宾海和菲律宾领土内的行动,4,"""https://twitter.com/NguyenHo1096438/status/1899800583856705689""","""https://x.com/NguyenHo1096438/status/1900865895217721613/video/1""","""https://x.com/GMbeki31765/status/1901960476113727988/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,Atin Ito Coalition 计划在西菲律宾海举行平民任务,2025/3/17,西菲律宾海,Atin Ito Coalition,Atin Ito Coalition 宣布将于5月25日在西菲律宾海举行平民任务,15,"""https://x.com/PilipinasToday_/status/1901572445716541924/photo/1""","""https://www.youtube.com/watch?v=PvoS8MPQP_g&feature=youtu.be""",https://twitter.com/dzrhnews/statuses/1901563273490895033,https://twitter.com/dzrhnews/statuses/1901624196733534271,"""https://x.com/dzbb/status/1901519737861152846/video/1""","""https://www.philstar.com/headlines/2025/03/17/2429064/atin-ito-bring-musicians-west-philippine-sea""","""https://www.pna.gov.ph/articles/1246262""","""https://www.inquirer.net/432905/atin-ito-returns-to-wps-sets-concert-in-kalayaan/?utm_medium=social&utm_source=facebook&fbclid=IwY2xjawJFkNBleHRuA2FlbQIxMQABHbmHdgKUF8LgNuES9oEpuWkhPcoCNxJPSwXA3Si1SLNxVMTXMW7reJ2u-A_aem_s5szdq4YOar5RMXoO_FS6g"";""https://www.inquirer.net/"";""https://x.com/nowyouknowph/status/1901829661681754623/photo/1""","""https://www.youtube.com/watch?v=K7DpAz6XATo&feature=youtu.be""","""https://x.com/PTVph/status/1901868248565768192/video/1""",https://twitter.com/dzrhnews/statuses/1901716552782901720,"""https://www.youtube.com/watch?v=hQIH2WuFuR0&feature=youtu.be""","""https://www.abs-cbn.com/news/nation/2025/3/18/afp-says-ready-to-help-atin-ito-in-third-civilian-mission-to-west-philippine-sea-1545"";""https://x.com/ABSCBNNews/status/1901981915873243195/photo/1""","""https://radyopilipinas.ph/2025/03/panibagong-civilian-mission-sa-west-philippine-sea-welcome-sa-afp/"";""https://x.com/radyopilipinas1/status/1902098622470349265/photo/1""","""https://www.bworldonline.com/the-nation/2025/03/18/660212/philippine-military-offers-support-for-civilian-convoy-planning-concert-at-sea/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,CinePanalo电影节因“外部因素”撤回电影《来自西菲律宾海的新鲜外卖》,2025/3/17,菲律宾,CinePanalo电影节、电影《来自西菲律宾海的新鲜外卖》,CinePanalo电影节撤回电影《来自西菲律宾海的新鲜外卖》,2,"""https://lifestyle.inquirer.net/535398/director-baby-ruth-villarama-and-the-documentary-to-cut-across-the-10-dash-line/""","""https://www.abs-cbn.com/entertainment/showbiz/movies-series/2025/3/20/cinepanalo-director-hopes-west-philippine-sea-docu-gets-global-premiere-1125""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾在西菲律宾海捍卫主权，中国加强非法巡逻和骚扰,2025/3/18,西菲律宾海、帕纳塔格浅滩,菲律宾、中国,菲律宾在西菲律宾海捍卫主权，中国加强非法巡逻和骚扰菲律宾船只,2,"""https://twitter.com/MediaUnlock/status/1895392396810350994""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾民众就杜特尔特在西菲律宾海问题上的“背叛”发表评论,2025/3/19,西菲律宾海,菲律宾民众、罗德里戈·罗亚·杜特尔特,菲律宾民众指责前总统杜特尔特在西菲律宾海问题上的“背叛”,3,"""https://x.com/rs015dbph/status/1902156416082964735/photo/1"";""https://x.com/IsabellaAn67/status/1901914278296535274/video/1""",https://twitter.com/TVSJEXONCTee_/statuses/1902596340011692051,https://twitter.com/jinniace_/statuses/1903074722419708150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,中国海警在南海骚扰菲律宾和越南渔民,2025/3/19,南海,中国海警、菲律宾渔民、越南渔民,中国海警在南海骚扰菲律宾和越南渔民，并阻止对渔民的补给任务,2,"""https://x.com/MinhDr18/status/1902323191898648873/video/1""","""https://x.com/Michael71T/status/1902275996583182483/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾海军与环境与自然资源部在西菲律宾海合作建设海洋研究站,2025/3/19,西菲律宾海,菲律宾海军、环境与自然资源部,菲律宾海军将协助环境与自然资源部在西菲律宾海建设海洋研究站，以确保政府机构和民间社会的安全和保护,2,"""https://smninewschannel.com/ph-navy-sasamahan-ang-denr-sa-pagtatayo-ng-research-stations-sa-wps/""","""https://radyopilipinas.ph/2025/03/afp-handang-umalalay-sa-mga-aktibidad-ng-denr-sa-recto-bank-at-rizal-reef-sa-wps-sa-susunod-na-buwan/"";""https://x.com/radyopilipinas1/status/1902216100546519099/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾海军发言人强调武装部队在西菲律宾海维护民主和公民权利的作用,2025/3/19,西菲律宾海,菲律宾海军、菲律宾武装部队,菲律宾海军发言人强调武装部队在西菲律宾海维护民主和公民权利的作用,2,"""https://x.com/tribunephl_Lade/status/1902268880002936939/photo/1""","""https://x.com/Philippine_Navy/status/1902297344479199302/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,参议员Imee Marcos因在西菲律宾海问题上未捍卫菲律宾领土而受到批评,2025/3/20,西菲律宾海,Imee Marcos、菲律宾民众,参议员Imee Marcos因未能在西菲律宾海问题上捍卫菲律宾领土而受到批评,2,https://twitter.com/RommelFLopez/statuses/1902603671248237004,"""https://x.com/SenImeeMarcos/status/1902683556482256992/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾国防部在格兰德岛逮捕涉嫌间谍，该岛可俯瞰黄岩岛和西菲律宾海,2025/3/20,格兰德岛、西菲律宾海、黄岩岛,菲律宾国防部、涉嫌间谍,菲律宾国防部在格兰德岛逮捕涉嫌间谍，该岛被认为是战略要地，可清晰俯瞰黄岩岛和西菲律宾海,2,"""https://www.abs-cbn.com/news/nation/2025/3/20/6-foreigners-2-pinoys-nabbed-in-subic-bay-over-suspected-espionage-1200"";""https://x.com/ABSCBNNews/status/1902710466461188523/photo/1""","""https://www.rappler.com/philippines/transforming-islands-former-united-states-base-military-reservation/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾海岸警卫队准将 Jay Tarriela 驳斥 Mark Lopez 在西菲律宾海问题上的虚假信息,2025/3/21,西菲律宾海,菲律宾海岸警卫队准将 Jay Tarriela、Mark Lopez,菲律宾海岸警卫队准将 Jay Tarriela 驳斥 Mark Lopez 在西菲律宾海问题上散布的虚假信息,4,"""https://www.youtube.com/watch?v=Zuw9yqgx25o"";""https://x.com/ABSCBNNews/status/1903053981661925680/photo/1""","""https://x.com/IvanAtHome/status/1903009079200715114/video/1""","""https://x.com/bncdotph/status/1902987575050264653/photo/1""","""https://x.com/tribunephl/status/1902989139848597944/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾总统通讯办公室秘书Jay Ruiz强调沟通在西菲律宾海问题中的作用,2025/3/22,西菲律宾海,菲律宾总统通讯办公室秘书Jay Ruiz,强调沟通在解决西菲律宾海问题中的关键作用,2,"""https://x.com/PIADesk/status/1903016591542899155/photo/1""","""https://x.com/PIADesk/status/1903016591542899155"";""https://x.com/PIA_NCR/status/1903972174689657296/photo/1"";""https://x.com/PIADesk/status/1903016591542899155/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,BRPSierraMadre与中国海警在西菲律宾海就中国海警任务发生争执,2025/3/22,西菲律宾海,BRPSierraMadre、中国海警,BRPSierraMadre揭露中国海警在西菲律宾海的真实任务,4,"""https://twitter.com/NguyenThih36/status/1903036673006637279""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾海岸警卫队发言人Jay Tarriela与Mark Lopez就西菲律宾海问题在社交媒体上发生争执,2025/3/22,西菲律宾海相关讨论（社交媒体）,菲律宾海岸警卫队发言人Jay Tarriela、Mark Lopez,Jay Tarriela指责Mark Lopez在社交媒体上散布关于西菲律宾海斗争的错误信息,10,"""https://www.youtube.com/watch?v=Zuw9yqgx25o"";""https://x.com/ABSCBNNews/status/1903053981661925680/photo/1""","""https://x.com/bncdotph/status/1902987575050264653/photo/1""","""https://x.com/IvanAtHome/status/1903009079200715114/video/1""","""https://x.com/AntonioDencio/status/1902992865120358566/photo/1""","""https://x.com/justinmaniluh/status/1903028119109505186/video/1""","""https://twitter.com/bncdotph/status/1902987575050264653"";""https://x.com/bncdotph/status/1902987575050264653/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾就中国在南海的行动进行外交抗议、舆论宣传和国内讨论,菲律宾参议员Robinhood Padilla支持参议院多数党领袖Francis Tolentino在西菲律宾海问题上的立法行动,2025/3/22,西菲律宾海,菲律宾参议员Robinhood Padilla、菲律宾参议院多数党领袖Francis Tolentino,参议员Robinhood Padilla支持参议员Francis Tolentino在西菲律宾海的保护和安全方面的立法工作,2,"""https://x.com/PilipinasToday_/status/1903267908693922048/photo/1""","""https://tnt.abante.com.ph/2025/03/22/tolentino-suportado-pagpapalawak-ng-mga-military-partnership/news/""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾谴责中国在南海的领土主张为“最大的谎言”并引发多方回应,Michael71T 与 中国 在 南海 就 中国的权力投射 发生争执,2025/3/23,南海,Michael71T、中国,Michael71T在社交媒体上指责中国将南海（包括西菲律宾海）变为其不受限制的权力投射场所，并利用民用船只和海上民兵推行其帝国野心,2,"""https://x.com/Michael71T/status/1903734052617904375/video/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菲律宾谴责中国在南海的领土主张为“最大的谎言”并引发多方回应,菲律宾 在 南海地区 谴责中国对南海的主张为“最大的谎言”,2025/3/24,南海地区,菲律宾、中国,菲律宾国防部长谴责中国在南海的扩张性主张是“最大的谎言”，并表示没有东南亚国家会接受,6,"""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x""","""https://www.scmp.com/news/asia/southeast-asia/article/3303676/south-china-sea-philippine-defence-chief-labels-beijings-maritime-claims-fiction-and-lie?share=TRhbY1oxLxrtpGziADEmgL0xoZ9301AsDpvoLHmFmBjgg3F%2Bty4tvGV%2BRR58B2cThpgtB6sYV2spipmnrRi6Yh74FJLxCcqIrk0NnqJwzYdrV88yFUnMYyD2%2BmebmN3WQZyQztP%2FGuHKYItSY6LaYg%3D%3D&utm_campaign=social_share""","""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-slams-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x""","""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-slams-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_medium=SocialFlow&utm_campaign=twtnl_x"";""https://x.com/WashTimes/status/1904257885338837485/photo/1""","""https://www.washingtontimes.com/news/2025/mar/24/philippine-defense-chief-slams-chinas-claims-south-china-sea-biggest/?utm_source=Twitter&utm_campaign=twtnl_x&utm_medium=SocialFlow"";""https://x.com/WashTimes/status/1904318077270929533/photo/1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
